INCIDENT_ID,INCIDENT_NAME,DESCRIPTION,SEVERITY_ID,INCIDENT_TYPE_ID,ASSIGNED_USER_ID,ASSIGNED_DATE,RESOLUTION_DATE,DATE_FROM,DATE_TO,SOURCE_ID,ASSIGNED_ROLE_ID,LEVEL_ID,CUST_SATISFY,PRODUCT_ID,DIM_RELEASE_ID,INCIDENT_UNIQUEID,INC_STATUS_ID,INC_STATUS,INCIDENT_DUE
1,Check in Failure on Assign to Task,Check in Failure on Assign to Task,1,2,NULL,2018-03-12 00:00:00,2018-08-31 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,127,2,NULL,112,41,IMV-713-88311,7,Client Action Required,1
2,Unable to Connect to the Environment,Unable to Connect to the Environment,1,2,NULL,2018-08-16 00:00:00,2018-11-19 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,137,2,NULL,110,39,UVX-182-48325,7,Client Action Required,0
3,The Staff Loan Ordinary Loan never goes past the Cashpool step,The Staff Loan Ordinary Loan never goes past the Cashpool step,1,7,NULL,2018-08-23 00:00:00,2018-10-25 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,139,2,NULL,110,39,OBJ-695-23640,7,Client Action Required,0
4,Getting and error message  `Unable to retrieve error message. Please increase waiting time for the l,"Getting and error message  `Unable to retrieve error message. Please increase waiting time for the last operation` when executing Trade Finance Loan.This is in the Account Sweep Step                        ",1,2,NULL,2018-10-11 00:00:00,2018-11-13 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,139,2,NULL,110,39,TVM-972-87777,3,Closed,0
5,I keep getting an error when executing Account Debit Interest-back Valued scenario automatically.,I keep getting an error when executing Account Debit Interest-back Valued scenario automatically.,1,2,NULL,2018-10-12 00:00:00,2018-11-13 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,139,2,NULL,110,39,OQB-216-22573,3,Closed,0
6,We have a scenario where test cases which passed in R13 are failling in R17 in a step where they are,We have a scenario where test cases which passed in R13 are failling in R17 in a step where they are switching branches,1,2,NULL,2018-10-12 00:00:00,2018-11-13 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,139,2,NULL,110,39,AXQ-382-41394,3,Closed,0
7,Most of teller Transactions being put on Hold Instead of committing/Authorizing when executing autom,Most of teller Transactions being put on Hold Instead of committing/Authorizing when executing automatically,1,2,NULL,2018-10-22 00:00:00,2018-10-25 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,139,2,NULL,110,39,WSV-270-54046,7,Client Action Required,0
8,Close page step from TE to be included in Commerce,Close page step from TE to be included in Commerce,3,4,NULL,2018-10-23 00:00:00,2018-11-13 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,3,NULL,110,39,TNB-660-59220,3,Closed,0
9,Check if the same problem exist in Commerce version,Check if the same problem exist in Commerce version,3,2,NULL,2018-10-24 00:00:00,2018-11-15 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,132,2,NULL,110,39,ZAO-511-81140,3,Closed,0
10,Missing Field in Validata,Missing Field in Validata,1,2,NULL,2018-10-24 00:00:00,2018-10-25 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,139,2,NULL,110,39,WLT-677-32602,7,Client Action Required,0
11,"Some Test Cases are unable to Change into branches successfully ","Some Test Cases are unable to Change into branches successfully ",1,2,NULL,2018-10-24 00:00:00,2018-10-25 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,139,2,NULL,110,39,KYQ-106-58403,7,Client Action Required,0
12,Failed to click 'Commit Deal' button,Failed to click 'Commit Deal' button,1,2,NULL,2018-10-24 00:00:00,2018-10-25 00:00:00,2018-11-22 15:56:13,2018-12-10 18:58:00,VALIDATA,139,2,NULL,110,39,PYP-182-76381,7,Client Action Required,0
